"","Year","School","Name","Height","Weight","Hand_Size","Arm_Length","Forty_Yard","Vertical_Leap","Broad_Jump","Shuttle","Three_Cone","NFL_QBR","Conference","Games","Completions","Attempts","Completion_Percentage","Yards","Y.A","TD","INT","College_QBR","Rush_Attempts","Rushing_Yds","Rushing_Avg","Rushing_Td","Rank","Power_Five"
"31",1991,"Arizona State","Paul Justin",75.8,202,10.25,32,5.04,27.5,104,4.36,9.99,75,"Pac-10",22,314,567,0.55,4467,7.9,27,20,130.2,57,-202,-3.5,2,NA,TRUE
"32",1991,"Louisville","Browning Nagle",74.3,231,10,30,9.99,NA,NA,9.99,9.99,53.5,"Ind",22,333,597,0.56,4653,7.8,32,21,131.9,95,-171,-1.8,3,NA,FALSE
"33",1991,"Maryland","Scott Zolak",77,222,10.5,32.5,5.01,30.5,105,4.4,9.99,64.8,"ACC",11,225,418,0.54,2589,6.2,10,19,104.7,64,-197,40.5,1,NA,TRUE
"34",1991,"Oregon","Bill Musgrave",74.3,200,9.5,31.5,4.98,30.5,106,4.27,9.99,71,"Pac-10",33,572,983,0.58,7528,7.7,52,36,132.7,147,-182,-1.2,4,NA,TRUE
"35",1991,"Rice (TX)","Donald Hollas",75.1,215,9.75,32,4.93,28.5,104,4.31,9.99,61.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"36",1991,"Southern Mississippi","Brett Favre",74,217,10.38,31,9.99,NA,NA,9.99,9.99,86,"Ind",44,613,1169,0.52,7695,6.6,52,34,116.6,193,-89,-0.5,1,NA,FALSE
"37",1991,"Virginia","Shawn Moore",73.9,213,NA,NA,9.99,NA,NA,9.99,9.99,35.4,"ACC",32,410,744,0.55,6498,8.7,54,29,144.6,392,1179,3,27,NA,TRUE
"38",1992,"Brigham Young","Ty Detmer",71.8,179,8.13,31.75,9.99,NA,NA,9.99,9.99,74.7,"WAC",36,875,1377,0.64,13779,10,108,55,165.5,233,-323,-1.4,14,NA,FALSE
"39",1992,"East Carolina (NC)","Jeff Blake",71.8,202,8.5,32.88,4.86,30.5,115,4.6,9.99,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"40",1992,"Florida State","Brad Johnson",76.5,218,10.13,31,5.02,29.5,110,4.29,9.99,82.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"41",1992,"Florida State","Casey Weldon",72.6,200,9.5,31,4.83,32.5,102,4.06,9.99,57.4,"Ind",23,301,495,0.61,4127,8.3,34,12,148.7,67,-9,-0.1,0,NA,FALSE
"42",1992,"Houston","David Klingler",74.5,205,9.25,33,4.82,32.5,111,4.01,9.99,65.1,"SWC",21,652,1140,0.57,8528,7.5,83,37,137.6,153,-81,-0.5,2,NA,FALSE
"43",1992,"Ohio State","Kent Graham",76.9,232,9.5,31.38,5.14,27.5,103,4.21,9.99,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"44",1992,"Penn State","Tony Sacca",76.6,234,8.75,33.13,4.86,29.5,107,4.21,9.99,-32.4,"Ind",23,291,541,0.54,4354,8,31,14,135.1,135,76,0.6,5,NA,FALSE
"45",1992,"Tulsa (OK)","T.J. Rubley",74.6,199,8.75,32.75,4.88,27,NA,4.22,9.99,78.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"46",1992,"Virginia","Matt Blundin",78,228,9,33.5,4.99,25.5,103,4.53,9.99,-65,"ACC",9,135,224,0.6,1902,8.5,19,0,159.6,30,10,63.4,1,NA,TRUE
"47",1992,"Virginia Tech","Will Furrer",74.6,208,9.63,31.88,4.88,32,106,4.46,9.99,31.4,"Ind",30,449,832,0.54,5326,6.4,40,43,113.3,114,-134,-1.2,1,NA,FALSE
"48",1993,"Florida","Shane Matthews",74.6,196,8.88,31.63,4.89,32,105,4.37,9.99,75,"SEC",34,722,1202,0.6,9287,7.7,74,46,137.6,195,-46,-0.2,7,NA,TRUE
"49",1993,"Indiana","Trent Green",74.5,211,9.63,33.13,4.92,32.5,116,4.2,9.99,86,"Big Ten",22,354,617,0.57,4407,7.1,19,24,119.8,216,229,1.1,14,NA,FALSE
"50",1993,"Miami (FL)","Gino Torretta",74,219,9.38,29.38,9.99,31,106,9.99,9.99,33.6,"Ind",33,534,950,0.56,7480,7.9,47,23,133.8,104,21,0.2,2,NA,FALSE
"51",1993,"Michigan","Elvis Grbac",77.1,232,9.13,33.25,4.81,31.5,112,4.5,9.99,79.6,"Big Ten",36,449,719,0.62,5636,7.8,63,28,149.4,60,-136,-2.3,1,NA,FALSE
"52",1993,"Notre Dame","Rick Mirer",74,216,9.25,32.25,9.99,NA,NA,9.99,9.99,63.5,"Ind",34,362,668,0.54,5817,8.7,41,22,141,241,662,2.7,17,NA,FALSE
"53",1993,"Pittsburgh","Alex Van Pelt",72,212,9.75,31.88,4.97,30.5,NA,9.99,9.99,64.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"54",1993,"Washington","Billy Joe Hobert",74.6,234,9.75,29,4.89,30.5,109,4.29,9.99,68.6,"Pac-10",11,173,285,0.61,2271,8,22,10,146.1,33,56,68.8,5,NA,TRUE
"55",1993,"Washington","Mark Brunell",73,206,9.13,32.25,4.7,30.5,112,4.19,9.99,84,"Pac-10",22,227,442,0.51,3033,6.9,19,12,117.8,173,641,3.7,18,NA,TRUE
"56",1993,"Washington State","Drew Bledsoe",77,233,9.63,33.25,9.99,32.5,111,4.54,9.99,77.1,"Pac-10",23,440,790,0.56,5987,7.6,37,30,127.2,113,-106,-0.9,6,NA,TRUE
"57",1993,"Weber State (UT)","Jamie Martin",74.4,210,9.88,32.25,4.83,31,115,4.3,9.99,82.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"58",1994,"Boston College","Glenn Foley",72.8,212,9.38,30.75,9.99,NA,NA,9.99,9.99,67.2,"Ind",44,703,1275,0.55,10039,7.9,72,60,130.5,166,-320,-1.9,0,NA,FALSE
"59",1994,"Dartmouth (NH)","Jay Fiedler",73.4,215,9.5,30.5,4.81,33.5,116,4.46,9.99,77.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"60",1994,"Frenso State (CA)","Trent Dilfer",75.3,228,9.63,32.25,9.99,NA,NA,9.99,9.99,70.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"61",1994,"Idaho","Doug Nussmeier",74.9,211,9.63,31.25,4.88,33,113,4.13,9.99,55.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"62",1994,"LIU-CW Post (NY)","Perry Klein",74.4,214,9,31.88,4.84,32.5,115,4.2,9.99,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"63",1994,"Louisville","Jeff Brohm",72.8,208,9.5,30,9.99,34.5,113,4.23,9.99,79.2,"Ind",22,340,601,0.57,4634,7.7,29,21,130.3,177,4,0,5,NA,FALSE
"64",1994,"Memphis","Steve Matthews",74.9,208,8.88,31.5,9.99,NA,NA,9.99,9.99,85.3,"Ind",40,682,1118,0.61,7960,7.1,62,50,130.2,144,-778,-5.4,2,NA,FALSE
"65",1994,"Michigan State","Jim Miller",74.3,227,9.38,31.5,5.13,24.5,100,4.39,9.99,75.2,"Big Ten",32,467,745,0.63,5037,6.8,17,29,119.2,128,-293,-2.3,0,NA,FALSE
"66",1994,"Tennessee","Heath Shuler",74,221,10.63,31.5,9.99,NA,NA,9.99,9.99,54.3,"SEC",22,314,509,0.62,4066,8,35,12,146.8,151,359,2.4,14,NA,TRUE
"67",1994,"Tulsa (OK)","Gus Frerotte",75,221,9.5,30.88,5.04,26,102,4.79,9.99,74.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"68",1995,"Brigham Young","John Walsh",75,214,9.75,32.38,9.99,NA,NA,9.99,9.99,-37.5,"WAC",23,528,860,0.61,7439,8.7,57,29,149.2,160,-546,-3.4,3,NA,FALSE
"69",1995,"California","Dave Barr",74.9,210,9.75,31.38,9.99,NA,NA,9.99,9.99,67.8,"Pac-10",24,386,619,0.62,4962,8,40,27,142.3,125,-255,-2,1,NA,TRUE
"70",1995,"Colorado","Kordell Stewart",73.5,212,9.5,31.5,4.52,36,125,4.13,9.99,70.7,"Big 8",31,455,783,0.58,6479,8.3,33,19,136.7,284,1145,4,14,NA,FALSE
"71",1995,"Georgia","Eric Zeier",72.5,208,9.13,32.25,9.99,NA,NA,9.99,9.99,74.4,"SEC",44,838,1402,0.6,11153,8,67,37,137.1,158,-312,-2,4,NA,TRUE
"72",1995,"Kansas State","Chad May",73.4,226,10.63,31.75,9.99,NA,NA,9.99,9.99,-37.5,"Big 8",22,385,688,0.56,5253,7.6,34,16,131.8,128,-362,-2.8,10,NA,FALSE
"73",1995,"Michigan","Todd Collins",76.6,224,9.5,32.5,5.07,30,111,4.34,9.99,71.8,"Big Ten",24,375,584,0.64,5027,8.6,30,17,147.6,87,-124,-1.4,0,NA,FALSE
"74",1995,"Middle Tennessee State","Kelly Holcomb",74.4,202,9.5,30.75,5.12,28,107,4.44,9.99,79.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"75",1995,"New Mexico","Stoney Case",74.5,206,9.63,31.38,4.83,30.5,111,4.25,9.99,53.3,"WAC",34,574,1021,0.56,7896,7.7,57,33,133.1,380,1131,3,29,NA,FALSE
"76",1995,"Penn State","Kerry Collins",77,240,10,32.75,9.99,NA,NA,9.99,9.99,73.8,"Big Ten",22,303,514,0.59,4284,8.3,34,18,143.8,38,-11,-0.3,0,NA,FALSE
"77",1995,"Southern California","Rob Johnson",75.3,223,9.75,32.25,9.99,NA,NA,9.99,9.99,83.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"78",1995,"Stanford","Steve Stenstrom",73.9,199,9,31.5,5.08,28,100,4.03,9.99,62.5,"Pac-10",44,849,1352,0.63,10701,7.9,72,37,141.4,225,-718,-3.2,3,NA,TRUE
"79",1996,"Florida State","Danny Kanell",75.4,222,9.38,32,9.99,NA,NA,9.99,9.99,63.2,"ACC",22,484,782,0.62,5738,7.3,49,26,137.6,46,-168,-3.7,1,NA,TRUE
"80",1996,"Maryland","Scott Milanovich",74.5,218,9.25,30.25,9.99,NA,NA,9.99,9.99,70.1,"ACC",22,508,764,0.66,5893,7.7,46,27,144.1,141,-124,-0.9,3,NA,TRUE
"81",1996,"Michigan State","Tony Banks",76.5,220,9.5,33.13,4.93,NA,NA,4.55,9.99,72.4,"Big Ten",20,301,496,0.61,4129,8.3,20,21,135.5,139,-24,-0.2,3,NA,FALSE
"82",1996,"Northern Arizona","Jeff Lewis",73.8,215,9.25,31,9.99,NA,NA,9.99,9.99,46.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"83",1996,"Ohio State","Bobby Hoying",75.3,221,9.63,33.25,4.73,31,108,4.16,9.99,64.3,"Big Ten",38,490,844,0.58,7174,8.5,56,34,143.3,163,-71,-0.4,4,NA,FALSE
"84",1997,"Arizona State","Jake Plummer",74.3,195,9.25,33,4.96,30,111,4.29,7.3,74.6,"Pac-10",42,613,1107,0.55,8626,7.8,64,34,133.8,289,-113,-0.4,5,14,TRUE
"85",1997,"Auburn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,FALSE
"86",1997,"Colorado","Koy Detmer",72.9,180,8,32.88,5.14,28.5,103,4.37,7.79,61.2,"Big 12",11,208,363,0.57,3156,8.7,22,12,143.7,36,-6,87.7,3,NA,TRUE
"87",1997,"Colorado State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,FALSE
"88",1997,"Florida","Danny Wuerffel",73.8,212,9.5,31.5,4.9,28,100,4.42,7.69,56.4,"SEC",46,708,1170,0.61,10875,9.3,114,42,163.6,185,-375,-2,8,4,TRUE
"89",1997,"Florida State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE
"90",1997,"Georgia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,FALSE
"91",1997,"Georgia Tech",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,FALSE
"92",1997,"Kansas State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,FALSE
"93",1997,"Marshall (WV)","Eric Kresser",74.3,220,9.88,33.5,9.99,NA,NA,9.99,9.99,50.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"94",1997,"Michigan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE
"95",1997,"Missouri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,FALSE
"96",1997,"Murray State (KY)","Mike Cherry",75.9,222,9.75,33.25,5.11,28.5,105,4.38,7.8,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"97",1997,"Nebraska",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE
"98",1997,"North Carolina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE
"99",1997,"Ohio State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,FALSE
"100",1997,"Oklahoma State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,FALSE
"101",1997,"Penn State","Wally Richardson",76.4,221,10.25,33.63,4.95,31,109,4.47,7.97,45.8,"Big Ten",23,338,614,0.55,3930,6.4,25,14,117.7,69,-219,-3.2,0,16,FALSE
"102",1997,"Purdue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,FALSE
"103",1997,"Southern Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,FALSE
"104",1997,"Syracuse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,FALSE
"105",1997,"Tennessee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,FALSE
"106",1997,"UCLA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE
"107",1997,"Virginia Tech","Jim Druckenmiller",76.6,234,11.25,33.25,9.99,29,106,4.28,7.92,29.2,"Big East",22,293,544,0.54,4174,7.7,31,16,131.2,135,262,1.9,0,NA,FALSE
"108",1997,"Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,FALSE
"109",1997,"Washington State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,FALSE
"110",1997,"LSU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,FALSE
"111",1997,"Ole Miss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,FALSE
"112",1997,"Texas A&M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,FALSE
"113",1998,"Arizona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE
"114",1998,"Arkansas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,FALSE
"115",1998,"Eastern Michigan","Charlie Batch",73.9,216,9.75,33.75,4.89,33.5,118,4.11,7.6,77.2,"MAC",22,491,855,0.57,6457,7.6,44,28,131.3,146,162,1.1,4,NA,FALSE
"116",1998,"Florida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE
"117",1998,"Florida State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE
"118",1998,"Georgia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,FALSE
"119",1998,"Georgia Tech",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,FALSE
"120",1998,"Kansas State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,FALSE
"121",1998,"Miami (FL)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,FALSE
"122",1998,"Michigan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,FALSE
"123",1998,"Minnesota","Cory Sauter",76.1,218,9.38,34.13,4.98,31,109,4.15,7.45,85,"Big Ten",34,530,924,0.57,6754,7.3,40,33,125.9,254,-201,-0.8,8,NA,FALSE
"124",1998,"Missouri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,FALSE
"125",1998,"Nebraska",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,FALSE
"126",1998,"Notre Dame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,FALSE
"127",1998,"Ohio State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE
"128",1998,"Penn State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,FALSE
"129",1998,"Purdue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,FALSE
"130",1998,"Syracuse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,FALSE
"131",1998,"Tennessee","Peyton Manning",77.3,230,10.13,31.5,9.99,NA,NA,9.99,9.99,96.5,"SEC",34,774,1237,0.63,10060,8.1,78,27,147.3,132,-155,-1.2,11,1,TRUE
"132",1998,"Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,FALSE
"133",1998,"UCLA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,FALSE
