Name,QBR
Andrew Luck,96.5
Carson Palmer,95.6
Ryan Fitzpatrick,95.3
Russell Wilson,95.0
Matt Ryan,93.9
Philip Rivers,93.8
Alex Smith,93.4
Ryan Tannehill,92.8
Eli Manning,92.1
Joe Flacco,91.0
Jay Cutler,88.6
Mark Sanchez,88.4
Kyle Orton,87.8
Colin Kaepernick,86.4
Matthew Stafford,85.7
Teddy Bridgewater,85.2
Austin Davis,85.1
Shaun Hill,83.9
Andy Dalton,83.5
Cam Newton,82.1
Nick Foles,81.4
Drew Stanton,78.7
Geno Smith,77.5
Derek Carr,76.6
Brian Hoyer,76.5
Josh McCown,70.5
Blake Bortles,69.5
Russell Wilson,110.1
Andy Dalton,106.2
Carson Palmer,104.6
Tom Brady,102.2
Kirk Cousins,101.6
Drew Brees,101.0
Cam Newton,99.4
Tyrod Taylor,99.4
Matthew Stafford,97.0
Alex Smith,95.4
Ben Roethlisberger,94.5
Philip Rivers,93.8
Eli Manning,93.6
Josh McCown,93.3
Aaron Rodgers,92.7
Jay Cutler,92.3
Marcus Mariota,91.5
Brian Hoyer,91.4
Derek Carr,91.1
Matt Ryan,89.0
Teddy Bridgewater,88.7
Ryan Tannehill,88.7
Blake Bortles,88.2
Ryan Fitzpatrick,88.0
Sam Bradford,86.4
Brock Osweiler,86.4
Blaine Gabbert,86.2
Jameis Winston,84.2
Matt Hasselbeck,84.0
Joe Flacco,83.1
Colin Kaepernick,78.5
Andrew Luck,74.9
Nick Foles,69.0
Ryan Mallett,67.9
Peyton Manning,67.9
Matt Ryan,117.1
Tom Brady,112.2
Dak Prescott,104.9
Aaron Rodgers,104.2
Drew Brees,101.7
Sam Bradford,99.3
Kirk Cousins,97.2
Derek Carr,96.7
Andrew Luck,96.4
Marcus Mariota,95.6
Ben Roethlisberger,95.4
Ryan Tannehill,93.5
Matthew Stafford,93.3
Russell Wilson,92.6
Andy Dalton,91.8
Alex Smith,91.2
Colin Kaepernick,90.7
Tyrod Taylor,89.7
Philip Rivers,87.9
Carson Palmer,87.2
Jameis Winston,86.1
Eli Manning,86.0
Trevor Siemian,84.6
Joe Flacco,83.5
Carson Wentz,79.3
Blake Bortles,78.8
Case Keenum,76.4
Cam Newton,75.8
Brock Osweiler,72.2
Ryan Fitzpatrick,69.6
Alex Smith,104.7
Drew Brees,103.9
Tom Brady,102.8
Carson Wentz,101.9
Jared Goff,100.5
Matthew Stafford,99.3
Case Keenum,98.3
Aaron Rodgers,97.2
Philip Rivers,96.0
Russell Wilson,95.4
Josh McCown,94.5
Kirk Cousins,93.9
Ben Roethlisberger,93.4
Jameis Winston,92.2
Matt Ryan,91.4
Tyrod Taylor,89.2
Andy Dalton,86.6
Dak Prescott,86.6
Derek Carr,86.4
Blake Bortles,84.7
Carson Palmer,84.4
Jacoby Brissett,81.7
Jay Cutler,80.8
Cam Newton,80.7
Joe Flacco,80.4
Eli Manning,80.4
Marcus Mariota,79.3
Mitchell Trubisky,77.5
Trevor Siemian,73.3
Brett Hundley,70.6
C.J. Beathard,69.2
DeShone Kizer,60.5
