Name,School,Conference,Games,Completions,Attempts,Completion_Percentage,Yards,Y/A,TD,INT,College_QBR,Rush_Attempts,Rushing_Yds,Rushing_Avg,Rushing_Td
Jake Browning,Pac-12,14,243,391,62.1,3430,8.8,43,9,167.5,65,45,0.7,4
Lamar Jackson,ACC,13,230,409,56.2,3543,8.7,30,9,148.8,260,1571,6.0,21
Austin Allen,SEC,13,245,401,61.1,3430,8.6,25,15,146.0,65,-126,-1.9,2
Josh Allen,MWC,14,209,373,56.0,3203,8.6,28,15,144.9,142,523,3.7,7
Patrick Mahomes,Big 12,12,388,591,65.7,5052,8.5,41,10,157.0,131,285,2.2,12
Nick Mullens,CUSA,11,243,384,63.3,3272,8.5,24,11,149.8,51,-54,-1.1,4
Quinton Flowers,American,13,207,331,62.5,2812,8.5,24,7,153.6,198,1530,7.7,18
Mitch Trubisky,ACC,13,304,447,68.0,3748,8.4,30,6,157.9,93,308,3.3,5
Jerod Evans,ACC,14,268,422,63.5,3552,8.4,29,8,153.1,204,846,4.1,12
Brad Kaaya,ACC,13,261,421,62.0,3532,8.4,27,7,150.3,37,-136,-3.7,1
Deondre Francois,ACC,13,235,400,58.8,3350,8.4,20,7,142.1,108,198,1.8,5
Sam Darnold,Pac-12,13,246,366,67.2,3086,8.4,31,9,161.1,62,250,4.0,2
Chad Kelly,SEC,9,205,328,62.5,2758,8.4,19,8,147.4,81,332,4.1,5
Riley Ferguson,American,13,280,443,63.2,3698,8.3,32,10,152.6,71,-70,-1.0,4
P.J. Walker,American,14,230,395,58.2,3295,8.3,22,13,140.1,65,-100,-1.5,1
Joshua Dobbs,SEC,13,225,357,63.0,2946,8.3,27,12,150.6,150,831,5.5,12
David Washington,CUSA,13,202,340,59.4,2836,8.3,31,5,156.6,67,207,3.1,1
Skyler Howard,Big 12,13,247,404,61.1,3328,8.2,26,10,146.6,142,463,3.3,10
DeShone Kizer,Ind,12,212,361,58.7,2925,8.1,26,9,145.6,129,472,3.7,8
Sean White,SEC,11,133,208,63.9,1679,8.1,9,3,143.1,55,163,3.0,2
Justice Hansen,Sun Belt,13,197,340,57.9,2719,8.0,19,8,138.9,79,131,1.7,1
Jacob Park,Big 12,10,133,225,59.1,1791,8.0,12,5,139.1,36,59,1.6,1
Deshaun Watson,ACC,15,388,579,67.0,4593,7.9,41,17,151.1,165,629,3.8,9
Danny Etling,SEC,11,160,269,59.5,2123,7.9,11,5,135.6,41,46,1.1,1
Christian Chapman,MWC,14,153,251,61.0,1994,7.9,20,6,149.2,71,63,0.9,0
Drew Lock,SEC,12,237,434,54.6,3399,7.8,23,10,133.3,52,123,2.4,1
Brent Stockstill,CUSA,10,262,414,63.3,3233,7.8,31,7,150.2,45,240,5.3,0
Dallas Davis,Sun Belt,11,198,348,56.9,2706,7.8,11,12,125.7,91,245,2.7,3
Zach Smith,Big 12,10,116,196,59.2,1526,7.8,13,7,139.3,25,-26,-1.0,1
Richard Lagow,Big Ten,13,253,438,57.8,3362,7.7,19,17,128.8,41,-188,-4.6,2
