Player,School,Conference,QBR
Dan Robinson,Hawaii,WAC,120.2
Josh Heupel,Oklahoma,Big 12,133.9
Jamie Barnette,North Carolina State,ACC,115.6
Greg Zolman,Vanderbilt,SEC,109.3
Vic Penn,UCF,Ind,121.2
Kurt Kittner,Illinois,Big Ten,129.3
Andrew Zow,Alabama,SEC,121.5
Cleo Lemon,Arkansas State,Big West,117.5
Rob Peters,Texas Tech,Big 12,110.6
Cory Paus,UCLA,Pac-10,107.8
John Turman,Pitt,Big East,112.6
Wes Counts,Middle Tennessee State,Ind,125.1
Ben Sankey,Wake Forest,ACC,120.7
Patrick Ramsey,Tulane,CUSA,123.0
Steve Birnbaum,Washington State,Pac-10,120.6
Deontey Kenner,Cincinnati,CUSA,113.0
Chris Kasteler,San Jose State,WAC,112.6
Jason McKinley,Houston,CUSA,110.2
Jose Davis,Kent State,MAC,121.3
Scott Mullen,Iowa,Big Ten,109.5
Walter Church,Eastern Michigan,MAC,105.3
Dylen Smith,Kansas,Big 12,112.1
Josh McCown,SMU,WAC,111.9
Josh Blankenship,Tulsa,WAC,98.3
Jim Dougherty,Missouri,Big 12,99.4
Joe Freedy,Buffalo,MAC,101.8
Brian Conn,Ball State,MAC,110.2
Tavares Bolden,Toledo,MAC,108.8
Sean Stein,New Mexico,MWC,107.5
Jeff Crosbie,Utah State,Big West,93.2
Josh Booty,LSU,SEC,90.3
Daniel Dixon,UAB,CUSA,99.3
Andy Chance,Louisiana-Monroe,Ind,102.8
Jermaine Alfred,Baylor,Big 12,91.9
Derek Dyer,Louisiana,Ind,85.1
Kyle Boller,California,Pac-10,80.8
Devin Scott,Temple,Big East,106.0
Chris Weinke,Florida State,ACC,163.1
Bart Hendricks,Boise State,Big West,170.6
John Turman,Pitt,Big East,151.4
Casey Printers,Texas Christian,WAC,156.7
Rex Grossman,Florida,SEC,161.8
Mike Thiessen,Air Force,MWC,147.0
Ken Dorsey,Miami (FL),Big East,152.3
Jason Thomas,UNLV,MWC,138.1
Jonathan Beasley,Kansas State,Big 12,132.1
George Godsey,Georgia Tech,ACC,151.9
Jonathan Smith,Oregon State,Pac-10,134.6
Ryan Schneider,UCF,Ind,147.0
Butchie Washington,Akron,MAC,131.4
Darnell Arceneaux,Utah,MWC,127.6
Jason Gesser,Washington State,Pac-10,132.5
Chris Finlen,Northern Illinois,MAC,132.2
Travis Cole,Minnesota,Big Ten,137.6
Woodrow Dantzler,Clemson,ACC,134.5
John Welsh,Idaho,Big West,139.3
Rocky Perez,UTEP,WAC,147.1
Tim Hasselbeck,Boston College,Big East,135.7
Matt Newton,Colorado State,MWC,136.9
Major Applewhite,Texas,Big 12,135.9
Wayne Madkin,Mississippi State,SEC,125.5
Dan Ellis,Virginia,ACC,128.1
Calvin McCall,Maryland,ACC,116.7
Josh Heupel,Oklahoma,Big 12,136.4
Ronald Curry,North Carolina,ACC,121.9
Casey Clausen,Tennessee,SEC,145.5
David Garrard,East Carolina,CUSA,128.4
Steve Bellisari,Ohio State,Big Ten,120.9
Lon Sheriff,San Diego State,MWC,115.3
Jose Fuentes,Utah State,Big West,124.6
Dave Ragone,Louisville,CUSA,142.2
Mark Farris,Texas A&M,Big 12,126.0
David Carr,Fresno State,WAC,135.4
Jesse Palmer,Florida,SEC,127.0
Byron Leftwich,Marshall,MAC,134.0
Joey Harrington,Oregon,Pac-10,125.4
Patrick Ramsey,Tulane,CUSA,133.2
Phil Petty,South Carolina,SEC,116.9
Josh Booty,LSU,SEC,120.4
Drew Brees,Purdue,Big Ten,132.6
Jeff Welsh,Western Michigan,MAC,125.9
Marcus Arroyo,San Jose State,WAC,120.1
Brooks Bollinger,Wisconsin,Big Ten,121.2
Carson Palmer,USC,Pac-10,118.0
Jeff Kelly,Southern Mississippi,CUSA,125.4
Wes Counts,Middle Tennessee State,Ind,125.0
Philip Rivers,North Carolina State,ACC,126.1
Greg Zolman,Vanderbilt,SEC,115.0
Sage Rosenfels,Iowa State,Big 12,110.3
Jeff Krohn,Arizona State,Pac-10,118.0
Talmadge Hill,Ball State,MAC,127.9
Jeff Smoker,Michigan State,Big Ten,113.4
Ben Leard,Auburn,SEC,123.5
Marquel Blackwell,South Florida,Ind,126.8
Romaro Miller,Ole Miss,SEC,123.9
Kurt Kittner,Illinois,Big Ten,128.9
Brad Lewis,West Virginia,Big East,110.5
Devin Scott,Temple,Big East,120.7
Jared Lorenzen,Kentucky,SEC,116.5
Josh Blankenship,Tulsa,WAC,109.3
Zak Kustok,Northwestern,Big Ten,125.4
David Neill,Nevada,WAC,111.6
Marques Tuiasosopo,Washington,Pac-10,115.9
Rudy Caamano,New Mexico,MWC,122.9
Timmy Chang,Hawaii,WAC,112.0
Rashard Casey,Penn State,Big Ten,116.9
Cleo Lemon,Arkansas State,Big West,119.9
Dylen Smith,Kansas,Big 12,103.2
Antwaan Randle El,Indiana,Big Ten,103.9
Jason McKinley,Houston,CUSA,116.3
Mike Bath,Miami (OH),MAC,104.4
Mike McMahon,Rutgers,Big East,110.5
Deontey Kenner,Cincinnati,CUSA,108.9
Ortege Jenkins,Arizona,Pac-10,102.3
Andrew Zow,Alabama,SEC,97.6
Aso Pogi,Oklahoma State,Big 12,108.1
Charlie Peterson,Brigham Young,MWC,113.3
K.C. Enzminger,New Mexico State,Big West,113.0
Darius Outlaw,Missouri,Big 12,97.6
Kyle Boller,California,Pac-10,104.5
Joe Freedy,Buffalo,MAC,108.7
Andy Sahm,Bowling Green State,MAC,105.1
Josh McCown,SMU,WAC,100.3
Robby Hampton,Arkansas,SEC,115.7
Derrick Vickers,Central Michigan,MAC,102.8
Kliff Kingsbury,Texas Tech,Big 12,117.0
Walter Church,Eastern Michigan,MAC,113.7
Tavares Bolden,Toledo,MAC,116.6
Jay Stoner,Wyoming,MWC,112.9
D. Bryant,Duke,ACC,95.8
Zach Williams,Kent State,MAC,96.4
Rex Grossman,Florida,SEC,170.8
Jeff Smoker,Michigan State,Big Ten,166.4
Chris Rix,Florida State,ACC,156.6
Ryan Dinwiddie,Boise State,WAC,164.7
David Carr,Fresno State,WAC,165.9
Rohan Davey,LSU,SEC,146.5
Jeff Krohn,Arizona State,Pac-10,153.4
Wes Counts,Middle Tennessee State,Sun Belt,166.6
Cory Paus,UCLA,Pac-10,132.8
Byron Leftwich,Marshall,MAC,164.6
Brandon Doman,Brigham Young,MWC,159.7
David Greene,Georgia,SEC,143.3
Steve Bellisari,Ohio State,Big Ten,133.4
Casey Clausen,Tennessee,SEC,150.0
Nick Rolovich,Hawaii,WAC,150.5
Ken Dorsey,Miami (FL),Big East,146.1
Darian Durant,North Carolina,ACC,149.3
Ryan Schneider,UCF,Ind,136.6
Ben Roethlisberger,Miami (OH),MAC,146.5
Gino Guidugli,Cincinnati,CUSA,137.5
George Godsey,Georgia Tech,ACC,142.1
